x	s-sbar	delta
7.5858E-03	-1.5209E-02	2.7617E-02
7.6560E-03	-1.5145E-02	2.7500E-02
7.7268E-03	-1.5082E-02	2.7384E-02
7.7983E-03	-1.5018E-02	2.7268E-02
7.8705E-03	-1.4955E-02	2.7153E-02
7.9433E-03	-1.4892E-02	2.7038E-02
8.0168E-03	-1.4830E-02	2.6923E-02
8.0910E-03	-1.4767E-02	2.6809E-02
8.1658E-03	-1.4705E-02	2.6695E-02
8.2414E-03	-1.4643E-02	2.6582E-02
8.3176E-03	-1.4581E-02	2.6469E-02
8.3946E-03	-1.4519E-02	2.6357E-02
8.4723E-03	-1.4458E-02	2.6245E-02
8.5507E-03	-1.4397E-02	2.6133E-02
8.6298E-03	-1.4336E-02	2.6022E-02
8.7096E-03	-1.4275E-02	2.5911E-02
8.7902E-03	-1.4215E-02	2.5801E-02
8.8716E-03	-1.4154E-02	2.5691E-02
8.9536E-03	-1.4094E-02	2.5581E-02
9.0365E-03	-1.4034E-02	2.5472E-02
9.1201E-03	-1.3975E-02	2.5363E-02
9.2045E-03	-1.3915E-02	2.5255E-02
9.2897E-03	-1.3856E-02	2.5146E-02
9.3756E-03	-1.3797E-02	2.5039E-02
9.4624E-03	-1.3738E-02	2.4931E-02
9.5499E-03	-1.3680E-02	2.4824E-02
9.6383E-03	-1.3621E-02	2.4718E-02
9.7275E-03	-1.3563E-02	2.4612E-02
9.8175E-03	-1.3505E-02	2.4506E-02
9.9083E-03	-1.3447E-02	2.4400E-02
1.0000E-02	-1.3389E-02	2.4295E-02
1.1984E-02	-1.2294E-02	2.2300E-02
1.3968E-02	-1.1419E-02	2.0707E-02
1.5952E-02	-1.0694E-02	1.9388E-02
1.7936E-02	-1.0077E-02	1.8266E-02
1.9920E-02	-9.5410E-03	1.7292E-02
2.1904E-02	-9.0669E-03	1.6431E-02
2.3888E-02	-8.6421E-03	1.5660E-02
2.5872E-02	-8.2569E-03	1.4961E-02
2.7856E-02	-7.9043E-03	1.4321E-02
2.9840E-02	-7.5789E-03	1.3731E-02
3.1824E-02	-7.2764E-03	1.3182E-02
3.3808E-02	-6.9935E-03	1.2670E-02
3.5792E-02	-6.7275E-03	1.2187E-02
3.7776E-02	-6.4761E-03	1.1732E-02
3.9760E-02	-6.2376E-03	1.1300E-02
4.1743E-02	-6.0104E-03	1.0888E-02
4.3727E-02	-5.7934E-03	1.0495E-02
4.5711E-02	-5.5854E-03	1.0118E-02
4.7695E-02	-5.3855E-03	9.7556E-03
4.9679E-02	-5.1929E-03	9.4068E-03
5.1663E-02	-5.0070E-03	9.0701E-03
5.3647E-02	-4.8273E-03	8.7444E-03
5.5631E-02	-4.6531E-03	8.4289E-03
5.7615E-02	-4.4841E-03	8.1227E-03
5.9599E-02	-4.3198E-03	7.8251E-03
6.1583E-02	-4.1600E-03	7.5355E-03
6.3567E-02	-4.0042E-03	7.2534E-03
6.5551E-02	-3.8523E-03	6.9782E-03
6.7535E-02	-3.7040E-03	6.7096E-03
6.9519E-02	-3.5591E-03	6.4471E-03
7.1503E-02	-3.4175E-03	6.1904E-03
7.3487E-02	-3.2788E-03	5.9392E-03
7.5471E-02	-3.1430E-03	5.6932E-03
7.7455E-02	-3.0099E-03	5.4521E-03
7.9439E-02	-2.8795E-03	5.2157E-03
8.1423E-02	-2.7515E-03	4.9839E-03
8.3407E-02	-2.6259E-03	4.7563E-03
8.5391E-02	-2.5027E-03	4.5329E-03
8.7375E-02	-2.3816E-03	4.3136E-03
8.9359E-02	-2.2627E-03	4.0981E-03
9.1343E-02	-2.1458E-03	3.8863E-03
9.3327E-02	-2.0310E-03	3.6781E-03
9.5311E-02	-1.9180E-03	3.4734E-03
9.7295E-02	-1.8070E-03	3.2722E-03
9.9279E-02	-1.6978E-03	3.0743E-03
1.0126E-01	-1.5904E-03	2.8796E-03
1.0325E-01	-1.4847E-03	2.6880E-03
1.0523E-01	-1.3808E-03	2.4996E-03
1.0721E-01	-1.2785E-03	2.3142E-03
1.0920E-01	-1.1779E-03	2.1318E-03
1.1118E-01	-1.0789E-03	1.9523E-03
1.1317E-01	-9.8147E-04	1.7757E-03
1.1515E-01	-8.8561E-04	1.6019E-03
1.1713E-01	-7.9129E-04	1.4309E-03
1.1912E-01	-6.9848E-04	1.2626E-03
